ÐòºÅ,Á÷¿Ø×´Ì¬,¸æ¾¯,º½°àºÅ,º½°à×´Ì¬,»úÐÍ,×¢²áºÅ,Ö´ÐÐÈÕÆÚ,Æð·ÉÅÜµÀ,½µÂäÅÜµÀ,³ö·¢µØ,Ä¿µÄµØ,Æð·É»ú³¡,½µÂä»ú³¡,¼Æ»®½µÂä»ú³¡,SOBT,EOBT,TOBT,CTOT,ATOT,ÑÓÎó»ù×¼,COBT,AEGT,AOBT,ËÉÉ²³µ,³ý±ùÊ±³¤,OTOBT,TTOT,SLDT,ELDT,CLDT,ALDT,CTOT²¹³ä,²ÈÉ²³µ,AIBT,ACGT,CPL_RMK,Ñ²º½¸ß¶È,Ñ²º½ËÙ¶È,º½  Â·,·ÅÐÐÑÓÎó»ù×¼,ÑÓÎóÊ±³¤,¼ÆËãÊ¹ÓÃµÄÆð·ÉÊ±¼ä,ÔÊÐíÆð·ÉÑÓÎóÊ±¼ä,×î½üµÄÁ÷¿Ø½áÊøÊ±¼ä,×î½üµÄÁ÷¿Ø¿ªÊ¼Ê±¼ä,¼Æ»®Î¨Ò»±êÊ¶,VIP±ê¼Ç,¹Ø×¢,Á÷¿Ø,ÌØÊâÁ÷¿Ø,»íÃâÁ÷¿ØºÅ,µÈ´ý³Ø/±£»¤³Ø±êÊ¶,²¹°à±ê¼Ç,Ëø¶¨×´Ì¬,Ëø¶¨ÀàÐÍ,¹«Ë¾ºË¶Ô,»ú³¡ºË¶Ô,º½°à¹ÒÆð±êÊ¶,µ÷Ê±±êÊ¶,º½°à»íÃâ±êÊ¶,ÈË¹¤»íÃâÕ¼Á¿,ÈË¹¤»íÃâ²»Õ¼Á¿,ÈË¹¤ÊÜÏÞ,·µº½/±¸½µ±êÊ¶,¸´·É±êÊ¶,¶þ´Î´úÂë,ETD,STOT,µ±Ç°×´Ì¬,ÈÝÁ¿»íÃâ,¼Æ»®ºÅ,µÈ´ý³Ø¹ØÁªÁ÷¿Ø,ÍÆ³ö»úÎ»,½ø¸Û»úÎ»,CTOT¸æ¾¯±êÖ¾,Ç°Ðò·µº½/±¸½µ±êÊ¶,·ÉÐÐÀàÐÍ,ÈË¹¤ÉèÖÃÒþ²Ø,ÊÇ·ñÐèÒª³ý±ù,CTOTÐÞ¸Ä±¸×¢,È¡Ïû±êÊ¶,É¾³ý±ê¼Ç,ÈÎÎñÀàÐÍ,CTOTÐÞ¸ÄÈ¨ÏÞµ¥Î»,ÐÞ¸ÄVIPÏ¯Î»¼¶±ð,Ê±Ï¶½»»»±êÊ¶,¹«Ë¾,
1,0,0,TBZ6629,OVE,E145/M,EPEMB,20240115,25,36R,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,±±¾©/Ê×¶¼,ZWWW,ZBAA,ZBAA,2024-1-15 1:30,2024-1-15 1:30,,,2024-1-15 2:35,2.02401E+13,,,,,,2024-1-15 1:17,2024-1-15 1:32,2024-1-15 4:15,2024-1-15 4:30,,2024-1-15 6:10,0,,2024-1-15 6:16,,,F350,N0470,WUR W190 ADPET W188 GOVSA W66 DKO W69 GUVBA,,2400,2024-1-15 2:35,25,,,eb9381e7d5e44bcd85f74d7448adde97,V/P,,,0,,,0,0,,0,5,0,0,0,,,,U,N,A7416,2024-1-15 1:45,2024-1-15 1:45,ARR,,164603,,,710,,0,N,0,0,,N,N,V/P,,0,,TBZ,
2,0,0,KZR988,DEP,E290/M,EIKHE,20240115,25,,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ALMATY,ZWWW,UAAA,UAAA,2024-1-15 2:00,2024-1-15 2:30,,,2024-1-15 2:38,2.02401E+13,,,,,,2024-1-15 2:16,2024-1-15 2:31,2024-1-15 3:40,2024-1-15 3:54,,,0,,,,,S1040,K0820,WUR B215 KABDO W119 GOBOK A343 RULAD/N0441F340 M610 BERTO Z315 ALUGI/K0812F340,2.02401E+13,780,2024-1-15 2:38,25,,,83574ccdb0b4488da43f115b3b229ec2,,,,0,,,0,0,,0,5,0,0,0,,,,U,N,A2307,2024-1-15 2:45,2024-1-15 2:15,DEP,,36039,,73,,,U,S,0,2,,N,N,W/Z,,0,,KZR,
3,0,0,CDG2437,DEP,B738/M,B5117,20240115,25,,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ALMATY,ZWWW,UAAA,UAAA,2024-1-15 4:40,2024-1-15 12:00,,,2024-1-15 12:25,2.02401E+13,,,,,,2024-1-15 11:47,2024-1-15 11:57,2024-1-15 6:30,2024-1-15 13:25,,,0,,,,,S0920,K0848,WUR B215 KABDO W119 GOBOK A343 RULAD/N0458F300 M610 PIGAL,,26400,2024-1-15 12:25,25,,,eb45b83de1b54e3abc5af3ea2cac4f5a,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2310,2024-1-15 12:10,2024-1-15 4:50,DEP,,81875,,172,,,U,N,0,0,,N,N,H/G,,0,,CDG,
4,0,0,HYT9009,ARR,B752/M,B2859,20240115,25,,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ÄªË¹¿Æ/Ð»ÁÐÃ·½ÝÎÖ,ZWWW,UUEE,UUEE,2024-1-15 5:55,2024-1-15 9:50,,,2024-1-15 10:33,2.02401E+13,,,2024-1-15 9:50,,0,2024-1-15 9:40,2024-1-15 9:55,2024-1-15 11:25,2024-1-15 15:06,,2024-1-15 16:01,0,,,,,S0980,K0870,WUR W190 VARMI A368 SARIN/N0465F340 M166 AGZ N993 ULTOP T759 LANTO L158 DIMGI,2.02401E+13,15180,2024-1-15 10:33,25,,,f8be3a63f68b4a548a0089cf5f555b1d,,,,0,,N,0,0,,3,5,2,0,0,,,,U,N,A2306,2024-1-15 10:05,2024-1-15 6:10,ARR,,31558,,173,,,U,S,0,2,,N,N,H/G,,0,,HYT,
5,0,0,CCA1292,OVE,B738/M,B1763,20240115,25,1,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,±±¾©/Ê×¶¼,ZWWW,ZBAA,ZBAA,2024-1-15 6:55,2024-1-15 6:55,,,2024-1-15 7:04,2.02401E+13,,2.02401E+13,2024-1-15 6:46,2.02401E+13,0,2024-1-15 6:42,2024-1-15 6:58,2024-1-15 10:25,2024-1-15 10:12,,2024-1-15 10:25,0,2.02401E+13,2024-1-15 10:25,,,S1010,K0823,WUR W190 ADPET W188 GOVSA W66 DKO W69 GUVBA,,-960,2024-1-15 7:04,25,,,200082d890ff4af9bc5058887198f410,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2311,2024-1-15 7:11,2024-1-15 7:11,ARR,,36426,,15,320,,0,S,0,1,,N,N,W/Z,,0,,CCA,
6,0,0,CSC6514,ARR,A21N/M,B30CS,20240115,25,1,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,³É¶¼/Ìì¸®,ZWWW,ZUTF,ZUTF,2024-1-15 6:55,2024-1-15 6:55,,,2024-1-15 7:12,2.02401E+13,,2.02401E+13,2024-1-15 6:46,2.02401E+13,0,2024-1-15 6:42,2024-1-15 7:01,2024-1-15 10:07,2024-1-15 10:05,,2024-1-15 10:24,0,2.02401E+13,,2.02401E+13,,S1070,K0800,WUR X54 ESDEX/K0796S0890 W191 DNC W565 XIXAN B330 ELPAN/K0800S0810 B330 MEXAD,,-480,2024-1-15 7:12,25,,,35837bb4c929425391197c6d24de962b,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A7427,2024-1-15 7:14,2024-1-15 7:14,ARR,,77406,,41,,,0,S,0,1,,N,N,W/Z,,0,,CSC,
7,0,0,CDG4951,OVE,B738/M,B1511,20240115,25,31,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Ì«Ô­/ÎäËÞ,ZWWW,ZBYN,ZBYN,2024-1-15 7:00,2024-1-15 7:00,,,2024-1-15 7:07,2.02401E+13,,2.02401E+13,2024-1-15 6:48,2.02401E+13,0,2024-1-15 6:47,2024-1-15 7:03,2024-1-15 10:30,2024-1-15 10:12,,2024-1-15 10:19,0,2.02401E+13,,,,S1010,K0848,WUR X54 ESDEX W191 PANRA W212 MUDAP W211 ZWX W219 YHD B215 GODON W87 TYN,,-1080,2024-1-15 7:07,25,,,a142b70687e641a495fa75238e2f71a0,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2320,2024-1-15 7:16,2024-1-15 7:16,ARR,,40950,,8,105,,0,S,0,1,,N,N,W/Z,,0,,CDG,
8,0,0,CSC3457,ARR,A20N/M,B320U,20240115,25,25,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ãòÖÝ/ÔÆÁú,ZWWW,ZULZ,ZULZ,2024-1-15 7:10,2024-1-15 7:10,,,2024-1-15 7:22,2.02401E+13,,2.02401E+13,2024-1-15 6:55,2.02401E+13,0,2024-1-15 6:57,2024-1-15 7:13,2024-1-15 10:37,2024-1-15 10:20,,2024-1-15 10:32,0,2.02401E+13,,2.02401E+13,,S1070,K0780,WUR X54 ESDEX/K0789S0950 W191 DNC W565 XIXAN B330 OMBON/K0809S0890 B330 IGUNI J85 DLZ,,-780,2024-1-15 7:22,25,,,f275b0387ec347b8b5ebf7de917a8cc6,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2316,2024-1-15 7:26,2024-1-15 7:26,ARR,,47845,,42,,,0,S,0,1,,N,N,W/Z,,0,,CSC,
9,0,0,CDG2186,OVE,B738/M,B1440,20240115,25,7,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ÄÏ¾©/Â»¿Ú,ZWWW,ZSNJ,ZSNJ,2024-1-15 7:25,2024-1-15 7:25,,,2024-1-15 7:28,2.02401E+13,,2.02401E+13,2024-1-15 7:09,2.02401E+13,0,2024-1-15 7:12,2024-1-15 7:28,2024-1-15 11:47,2024-1-15 11:31,,2024-1-15 11:30,0,2.02401E+13,,,,S0950,K0848,WUR X54 ESDEX W191 DNC W565 XIXAN W214 HO H14 P396 H131 P62 H11 ML W118 REVKU H48 FYG B208 HFE W51 LEGIV W164 OREVO,,-1320,2024-1-15 7:28,25,,,a120446b5f654636bff44986f0d62bf4,,,,0,,,0,1,,5,5,0,0,0,,,,U,N,A2315,2024-1-15 7:41,2024-1-15 7:41,ARR,,41633,,6,124,,0,S,0,1,,N,N,W/Z,,0,,CDG,
10,0,0,CSN6811,ARR,B738/M,B7970,20240115,25,29,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ºÍÌï/À¥¸Ô,ZWWW,ZWTN,ZWTN,2024-1-15 7:25,2024-1-15 7:25,,,2024-1-15 7:38,2.02401E+13,,2.02401E+13,2024-1-15 7:12,2.02401E+13,0,2024-1-15 7:12,2024-1-15 7:29,2024-1-15 9:22,2024-1-15 9:07,,2024-1-15 9:21,0,,,,,S0920,K0806,WUR B215 KABDO W119 LESVI H67 HTN,,-720,2024-1-15 7:38,25,,,c6bb2aa6516a4213b1165f5299aba49b,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1013,2024-1-15 7:42,2024-1-15 7:42,ARR,,77500,,40,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
